"filename", "language", "Ini", "C++", "XML", "comment", "blank", "total"
"/home/jcoli/develop/Platformio/projects/grow_1/User_Setup.h", "C++", 0, 23, 0, 66, 28, 117
"/home/jcoli/develop/Platformio/projects/grow_1/include/Free_Fonts.h", "C++", 0, 264, 0, 55, 61, 380
"/home/jcoli/develop/Platformio/projects/grow_1/include/buttons.h", "C++", 0, 6, 0, 6, 5, 17
"/home/jcoli/develop/Platformio/projects/grow_1/include/comm_bt.h", "C++", 0, 5, 0, 6, 4, 15
"/home/jcoli/develop/Platformio/projects/grow_1/include/comm_wifi.h", "C++", 0, 8, 0, 6, 5, 19
"/home/jcoli/develop/Platformio/projects/grow_1/include/defines.h", "C++", 0, 31, 0, 7, 11, 49
"/home/jcoli/develop/Platformio/projects/grow_1/include/disp_footpage.h", "C++", 0, 4, 0, 7, 5, 16
"/home/jcoli/develop/Platformio/projects/grow_1/include/disp_page0.h", "C++", 0, 4, 0, 7, 5, 16
"/home/jcoli/develop/Platformio/projects/grow_1/include/display.h", "C++", 0, 5, 0, 6, 4, 15
"/home/jcoli/develop/Platformio/projects/grow_1/include/display_navigation.h", "C++", 0, 4, 0, 6, 4, 14
"/home/jcoli/develop/Platformio/projects/grow_1/include/eprom.h", "C++", 0, 13, 0, 6, 4, 23
"/home/jcoli/develop/Platformio/projects/grow_1/include/icons/alert-decagram-outline-25.h", "C++", 0, 19, 0, 60, 6, 85
"/home/jcoli/develop/Platformio/projects/grow_1/include/icons/arduino.h", "C++", 0, 19, 0, 60, 6, 85
"/home/jcoli/develop/Platformio/projects/grow_1/include/icons/bell-alert.h", "C++", 0, 18, 0, 61, 6, 85
"/home/jcoli/develop/Platformio/projects/grow_1/include/icons/bx+door+open.h", "C++", 0, 12, 0, 52, 6, 70
"/home/jcoli/develop/Platformio/projects/grow_1/include/icons/bxs+door+open.h", "C++", 0, 19, 0, 60, 6, 85
